customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,date_of_birth,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,cust_rank,cust_value,age,age_group
1,Chickie,Brister,Male,86,7/12/1957,GeneralNullManager,Manufacturing,Mass Customer,No,Yes,14,45 Shopko Center,4500,Queensland,Australia,6,1,1.71875,66,Senior
2,Morly,Genery,Male,69,3/22/1970,StructuralNullEngineer,Property,Mass Customer,No,No,16,14 Mccormick Park,2113,New South Wales,Australia,11,1,1.71875,53,Senior
3,Ardelis,Forrester,Female,10,8/28/1974,SeniorNullCostNullAccountant,Financial Services,Affluent Customer,No,No,10,5 Colorado Crossing,3505,Victoria,Australia,5,1,1.71875,49,Adult
4,Lucine,Stutt,Female,64,1/28/1979,AccountNullRepresentativeNullIII,Manufacturing,Affluent Customer,No,Yes,5,207 Annamark Plaza,4814,Queensland,Australia,1,4,1.70312,44,Adult
5,Melinda,Hadlee,Female,34,9/21/1965,FinancialNullAnalyst,Financial Services,Affluent Customer,No,No,19,115 Montana Place,2093,New South Wales,Australia,9,4,1.70312,58,Senior
6,Druci,Brandli,Female,39,4/29/1951,AssistantNullMediaNullPlanner,Entertainment,High Net Worth,No,Yes,22,89105 Pearson Terrace,4075,Queensland,Australia,7,6,1.67188,72,Senior
7,Rutledge,Hallt,Male,23,10/6/1976,CompensationNullAnalyst,Financial Services,Mass Customer,No,No,8,7 Nevada Crossing,2620,New South Wales,Australia,7,6,1.67188,47,Adult
8,Nancie,Vian,Female,74,12/27/1972,HumanNullResourcesNullAssistantNullII,Retail,Mass Customer,No,Yes,10,85 Carioca Point,4814,Queensland,Australia,5,8,1.65625,51,Senior
9,Duff,Karlowicz,Male,50,4/28/1972,SpeechNullPathologist,Manufacturing,Mass Customer,No,Yes,5,717 West Drive,2200,New South Wales,Australia,10,8,1.65625,51,Senior
10,Barthel,Docket,Male,72,8/2/1985,AccountingNullAssistantNullIV,IT,Mass Customer,No,Yes,17,80 Scofield Junction,4151,Queensland,Australia,5,10,1.64062,38,Adult
11,Rockwell,Matson,Male,94,1/1/1995,ProgrammerNullAnalystNullI,Retail,High Net Worth,No,No,3,3682 Crowley Point,4573,Queensland,Australia,6,10,1.64062,28,Teenager
12,Wheeler,Winward,Male,48,8/30/1999,EnvironmentalNullSpecialist,Manufacturing,Mass Customer,No,No,10,3 Golden Leaf Point,3216,Victoria,Australia,8,12,1.625,24,Teenager
13,Olag,,Male,60,5/13/1990,HumanNullResourcesNullManager,Telecommunications,Mass Customer,No,No,9,0484 North Avenue,2032,New South Wales,Australia,11,13,1.60938,33,Adult
14,Melba,Spellacy,Female,38,12/9/1976,VPNullMarketing,Health,Mass Customer,No,No,4,0591 Anzinger Circle,2232,New South Wales,Australia,10,14,1.59375,47,Adult
15,Mandie,Feares,Female,32,4/19/1964,ClinicalNullSpecialist,Health,Mass Customer,No,No,10,39 Kedzie Pass,4053,Queensland,Australia,8,14,1.59375,59,Senior
16,Dukie,Swire,Male,88,3/31/1954,,Manufacturing,Affluent Customer,No,Yes,5,64 Granby Parkway,2500,New South Wales,Australia,8,16,1.5625,69,Senior
17,Marcelia,Monkleigh,Female,61,8/22/1993,AssociateNullProfessor,Manufacturing,Mass Customer,No,Yes,4,610 Swallow Street,4051,Queensland,Australia,6,17,1.54688,30,Adult
18,Winnifred,Beswetherick,Female,83,6/8/1976,Actuary,Financial Services,Mass Customer,No,No,14,61 4th Street,3040,Victoria,Australia,10,17,1.54688,47,Adult
19,Odilia,Quick,Female,65,11/9/1938,GeneralNullManager,Manufacturing,Affluent Customer,No,Yes,11,1550 Russell Way,2222,New South Wales,Australia,11,19,1.53125,85,Senior
20,Karly,Willavize,Female,2,8/12/1954,InternalNullAuditor,Manufacturing,High Net Worth,No,No,12,193 North Point,2190,New South Wales,Australia,10,19,1.53125,69,Senior
